Fecha,CantidadML,Moneda
"31, Abril, 1986",872.43L,USD 8578.86
26-04-1995,357.16ml,JPY 2275.58
"Jun 7, 2013",948.86ml,USD 2251.93
"Mayo 22, 1957",257.33L,JPY 409.88
23-05-1935,219.41ml,¥1757.84
30-10-1930,806.98L,EUR 4112.0
09/17/2021,21.38L,€117.19
12/02/1911,1721.48L,¥6060.74
11-10-1909,791.77L,GBP 2322.15
"Julio 18, 1904",496.21ml,EUR 3985.91
"Jun 25, 1952",656.4L,USD 6576.67
"6, Marzo, 2011",1997.84L,¥9461.38
"Septiembre 21, 2003",915.37L,GBP 7068.95
"16, Nov, 2008",1605.49ml,EUR 7864.13
"5, Mayo, 1972",999.69ml,EUR 1259.02
1988-05-28,557.08ml,JPY 8326.99
01-03-1906,201.43ml,GBP 5763.61
02-02-1903,975.12ml,JPY 3315.27
"12, Jul, 2023",1520.88L,$7672.91
01/28/1968,372.36ml,JPY 1571.04
02/05/1923,693.41L,¥4679.88
"Abr 8, 1904",904.96L,¥348.5
"Junio 21, 1977",43.79ml,USD 1289.14
"28, Julio, 1992",1905.34ml,¥5970.3
16-07-1911,1206.84L,GBP 8586.16
"Mar 22, 1965",1223.72L,£8012.17
"Nov 11, 1992",1782.69ml,$3758.85
03/22/1956,1442.36ml,$8872.59
12/18/1971,1674.71ml,$8798.45
1951-08-14,597.84L,GBP 9172.82
2001-04-19,1255.57ml,EUR 8807.85
02/11/1955,849.77ml,USD 5072.78
"Ene 2, 1908",1521.69L,$7707.79
03-11-1939,1928.69L,¥2172.18
"16, Diciembre, 1993",1950.62ml,EUR 5314.52
26-01-1913,726.58L,JPY 8224.9
"15, Mayo, 1986",1731.51L,GBP 7968.15
"Junio 19, 1987",217.69ml,GBP 3176.28
12/31/2018,735.78L,€1447.52
04-03-2007,1005.55L,$6972.31
07/21/1939,826.3ml,€1834.56
15-08-1930,1785.58ml,EUR 7246.12
"12, Noviembre, 1985",13.75ml,£2255.26
01-07-1901,110.3L,JPY 6978.03
06/02/1928,1574.3ml,¥4304.82
"Diciembre 15, 2012",918.41L,¥6942.44
05/19/2023,689.97L,JPY 9357.88
1980-01-14,522.97ml,€4707.51
2023-07-27,1803.92ml,EUR 2134.56
"3, Agosto, 1909",1202.55L,GBP 2327.87
"Septiembre 22, 1992",1496.67L,€2870.37
"1, Jul, 2011",74.93L,EUR 5443.2
2007-01-27,1569.21L,€7729.28
06/10/1979,1702.75ml,USD 3528.63
"12, Ago, 1997",84.51ml,GBP 3325.73
04-08-1923,1718.51L,JPY 9160.73
"Mayo 14, 2018",290.1L,JPY 3527.17
"Mar 13, 2011",1812.51L,¥7069.19
12/26/1946,768.77ml,€8074.31
31-03-1932,400.71ml,£913.37
"Julio 4, 1900",1671.11ml,JPY 9163.66
"Febrero 20, 1927",20.02ml,JPY 2014.75
18-04-2013,102.28L,USD 9059.31
15-03-1980,771.83ml,USD 5259.07
02-12-1937,750.84L,£5736.79
11-04-1977,1985.6L,$1366.4
06/19/1902,1456.53ml,JPY 6378.72
"18, Feb, 1991",1273.18ml,£8697.59
"18, Octubre, 1968",1444.04L,£5271.07
"Nov 31, 1968",20.81ml,£6341.52
02/14/2005,422.64L,USD 4061.46
12/21/1954,406.14L,GBP 8299.87
08/07/1912,1885.19L,¥4888.1
1978-09-30,410.54ml,£9257.91
1965-11-22,549.09ml,EUR 3118.56
"7, Noviembre, 1979",170.86ml,€1071.4
"16, Jun, 1918",613.1L,¥8523.83
"16, Mayo, 2019",933.02L,GBP 1998.99
02/25/1984,184.77L,EUR 5795.86
"20, Dic, 1980",1135.44L,£4622.88
01-01-1928,298.98L,GBP 8192.05
05/05/1970,787.75ml,¥3219.27
2019-11-16,1953.36ml,GBP 4197.88
04/02/1974,1636.98L,¥1178.21
"Febrero 3, 1925",331.43L,EUR 3227.22
"Abril 19, 1922",1240.87L,GBP 3826.12
07-10-1920,514.68ml,¥3910.22
"19, Marzo, 1972",382.36L,GBP 426.22
"25, Dic, 1960",561.2L,JPY 9871.62
"Mar 8, 1910",643.41L,£4429.37
"17, Octubre, 1940",406.66L,USD 3422.5
"30, Mayo, 1953",1864.85ml,USD 6199.66
"10, Mar, 1947",1909.43ml,$3251.7
1984-08-18,1614.36L,$7673.65
03/18/1948,1552.86L,JPY 6050.51
07-03-1956,1182.78L,GBP 7592.77
"5, Jun, 2009",632.65ml,$9393.05
"Septiembre 5, 2009",10.61ml,GBP 4160.88
1976-01-24,483.69L,EUR 9148.52
"Dic 22, 1965",1090.55L,USD 3838.03
1978-03-19,232.89L,GBP 4171.33
26-03-2023,1666.56L,EUR 7696.77
"22, Junio, 2006",656.08ml,JPY 7640.92
03-01-1981,1209.21ml,GBP 9801.94
09/01/1962,316.85L,JPY 3074.97
"Oct 19, 1989",1578.3L,¥2271.03
1933-11-03,1841.69ml,€5484.94
1962-02-23,1556.63L,USD 7874.15
31-07-1932,1729.88L,JPY 4423.71
15-06-2025,1923.83ml,GBP 1972.63
"Mayo 17, 1984",1170.5ml,£5722.48
02-11-1984,1277.4ml,GBP 5963.27
27-09-2018,1396.72L,¥4315.24
20-06-1939,1265.54L,$3516.5
01/15/2018,1958.52ml,EUR 8196.2
03/07/1965,884.41L,EUR 9292.87
16-07-1941,1643.33L,€7367.59
28-04-1936,939.08ml,¥7467.22
29-03-1913,1041.79ml,£5760.64
09/09/1964,634.11L,USD 7471.16
03-04-2023,1105.8ml,GBP 2479.18
09/13/1960,1507.84ml,EUR 8340.97
11/03/2016,1897.98ml,$6416.67
"25, Nov, 1910",1304.17L,$3227.12
"31, Agosto, 1984",164.27L,$1696.48
"Abr 17, 1902",1427.29ml,€6575.65
1944-02-28,1624.13ml,€3734.12
"21, May, 2024",1553.28L,JPY 6177.43
30-01-1978,1514.2L,EUR 4061.77
1914-07-20,1121.52L,$9766.0
17-04-1951,1031.77ml,£5171.29
2000-09-09,1695.78ml,JPY 8105.19
"31, Octubre, 2021",1113.83L,€7206.43
2019-07-01,1556.3ml,GBP 6409.02
"Sep 11, 1992",1356.07L,$6505.19
"Febrero 18, 1997",284.11ml,£5805.22
1978-03-11,609.37L,USD 4005.2
1927-08-04,1673.14ml,£9689.85
"17, Julio, 1932",1617.17ml,USD 3876.27
1982-07-22,423.44ml,$8342.44
24-03-1919,1175.2ml,JPY 6523.72
"10, Nov, 2021",850.54ml,JPY 5360.13
09-11-2016,1736.18ml,GBP 8506.85
10/28/1915,1596.38L,$7598.69
17-06-1940,1917.97L,JPY 9358.55
"May 9, 1924",1980.32L,£118.34
"17, Mayo, 2008",1514.25L,JPY 2884.53
"17, Ene, 2000",1053.47ml,GBP 1419.72
1919-01-18,1768.98ml,USD 2494.07
"Octubre 2, 1924",1584.65ml,GBP 9490.21
1970-10-25,1705.8L,¥4046.22
"13, Mar, 1964",818.84L,$2391.61
24-10-1912,1296.27L,¥8271.59
11/30/2007,68.53ml,€4575.54
2009-08-08,1056.45L,£699.46
1940-02-25,680.31L,JPY 4613.69
1987-04-24,959.34ml,EUR 1679.75
"Marzo 18, 2025",821.48L,$9789.99
01/08/1932,392.78ml,USD 3268.4
1990-11-07,9.5ml,€7797.1
06-11-1928,1385.94L,£9875.42
12/12/1932,1357.47L,£8876.49
02/21/1952,273.87L,JPY 8758.37
12-11-1987,271.51ml,USD 8701.28
1983-10-05,1169.79ml,$5180.4
2006-09-10,214.57L,£8378.96
31-02-1916,573.93L,¥8015.4
1921-08-07,1153.6L,JPY 883.11
"25, Jul, 1961",1203.46L,€1415.16
1957-08-15,1966.13L,€8152.0
24-05-2025,611.81ml,$6197.5
"14, Mayo, 1906",66.03ml,JPY 701.08
27-01-1987,425.77ml,EUR 2705.99
1994-04-01,1568.23L,$3660.78
12/26/1967,980.83ml,£5142.04
03/10/1917,1957.09L,€534.61
1949-10-10,1342.79ml,JPY 8513.61
"Oct 23, 2000",1299.44L,£4740.68
02/03/1931,822.59ml,$4496.15
"7, Septiembre, 1965",1880.09L,GBP 8817.5
08/17/2019,1380.09L,¥566.17
1992-12-22,98.78L,¥9690.95
"3, May, 2021",270.94ml,¥8306.53
1931-07-25,671.33ml,€2160.78
04/30/1986,172.22ml,EUR 7597.42
1991-02-28,1681.84L,USD 9355.04
14-09-1965,1906.84L,GBP 8580.98
11/28/1991,1638.11ml,JPY 1580.9
"Ago 4, 1989",1561.07ml,GBP 6687.42
"Feb 30, 2025",1867.05ml,¥2996.15
2008-04-06,572.04ml,€76.64
05/06/2018,95.96ml,¥8884.31
02/22/1930,947.3ml,¥8360.85
1955-11-11,110.75ml,$3309.7
"Dic 5, 1963",53.36ml,¥5965.55
21-06-1915,1081.4L,JPY 465.62
12/04/1948,1457.27ml,$2354.52
1931-12-12,368.96ml,EUR 6603.4
1969-02-26,1228.76L,USD 5360.57
"22, Ago, 1971",210.38ml,GBP 8857.47
1946-04-31,450.77ml,$8776.07
"Septiembre 21, 1964",897.93ml,GBP 7853.74
07/19/1942,180.57ml,£7224.66
06/21/1984,1449.1L,EUR 8602.35
1919-06-31,418.9L,GBP 2712.74
1949-08-18,5.05L,GBP 7824.8
07/02/2015,755.56L,USD 2091.17
"Sep 5, 1920",1472.46L,£3410.04
"23, Enero, 1917",1394.01ml,£4099.73
01/05/2006,415.51L,JPY 4134.6
"17, Abr, 1943",232.0ml,€4599.75
11/22/2022,1896.7ml,GBP 8676.13
"23, Feb, 2018",1462.25L,$1034.83
"11, Abril, 2008",109.14ml,USD 4264.96
04-10-2018,1957.6ml,JPY 1218.11
"Octubre 6, 1927",1681.76ml,GBP 5760.42
1910-12-07,1567.36L,€3011.78
"26, Noviembre, 1957",247.9ml,£1074.71
"Diciembre 12, 1987",1480.14L,GBP 9847.69
03/28/2016,1160.26ml,JPY 7009.95
22-11-1944,1831.02L,£8427.72
1999-10-14,1267.69L,€4594.14
1927-12-08,943.21L,$7657.15
"Feb 9, 2023",1511.51L,£8005.26
05/31/1946,1623.42L,€1115.03
07-10-1954,927.43ml,USD 4300.1
"5, Mayo, 1964",236.36L,¥3291.27
"Enero 28, 1900",933.09ml,€7680.17
29-04-2019,511.5L,GBP 3831.96
"5, Jun, 2003",427.4L,$6887.16
11-05-1988,64.34ml,€5807.84
15-07-1978,510.09L,£456.46
1916-06-01,285.76L,£3093.88
04-07-1917,1849.21L,$9813.01
"1, Abril, 1973",577.94ml,GBP 6005.83
"Febrero 1, 1964",1068.07ml,$671.73
1983-10-23,1974.11ml,JPY 4552.49
"11, Mar, 1902",1731.27L,GBP 1432.37
"Jun 8, 2002",962.25ml,¥2524.37
"Dic 13, 2024",1879.83L,GBP 1279.88
"16, Julio, 1906",1347.66L,GBP 4816.17
23-01-2000,805.38ml,£1062.22
"Octubre 13, 2021",747.42ml,GBP 4692.04
09/16/1980,1816.38ml,JPY 5002.63
"16, Sep, 2022",228.69L,JPY 6535.95
29-07-1951,502.46L,USD 5444.0
17-04-1923,53.71L,USD 1864.37
1940-02-24,484.35L,USD 8844.42
04/16/2006,97.43ml,$5286.95
23-05-1901,921.15L,USD 8314.26
07/23/1966,1674.91L,€5951.06
"4, Noviembre, 2004",28.22ml,¥1789.2
"Abr 29, 1916",496.14ml,JPY 3763.69
03/01/1965,566.38ml,€5137.73
1940-12-28,810.65ml,¥556.27
"Jul 8, 1997",877.47ml,£6428.28
19-10-1999,553.43ml,GBP 6321.18
1939-06-18,858.56ml,£2206.33
1919-12-12,758.66L,€6970.75
2019-08-03,1779.08ml,¥505.93
18-12-1939,73.39ml,£4831.84
"14, Agosto, 1931",1498.68ml,€1136.35
1968-02-08,1573.38ml,$8133.24
05/23/1928,1224.34L,$5482.02
1962-09-16,13.19L,USD 5182.54
07-11-1944,1549.29ml,€4411.97
"23, Noviembre, 1982",1116.21ml,€4178.94
17-04-1934,904.11ml,€9403.9
"Jul 20, 2006",1236.48ml,JPY 3480.45
09/12/2025,641.57ml,£2206.99
"18, Abril, 1946",1936.08ml,£5553.55
29-09-1985,399.3ml,¥9006.04
1970-08-24,1781.75ml,JPY 9121.36
"7, Septiembre, 1996",1147.19ml,EUR 7912.53
"20, Marzo, 1923",1602.43ml,$2284.55
01/11/1934,639.32L,GBP 3980.34
1903-10-23,136.77ml,¥2236.59
"25, Abr, 2003",1988.77ml,¥616.94
2010-11-04,1114.77ml,£8209.05
04/16/1989,225.86L,€7888.39
"Junio 7, 1973",1331.27ml,¥8334.64
02/26/1971,1262.21L,€1112.8
"9, Julio, 1929",1940.08L,JPY 6541.69
12/01/1995,232.03ml,USD 8757.52
01/22/2013,528.28L,£7965.87
"Jul 18, 1919",1528.7L,£2665.78
27-04-1971,825.95L,¥9138.34
"Ene 16, 1973",1507.05ml,JPY 620.12
"Febrero 11, 1919",746.44L,€8118.79
"23, Marzo, 1966",182.0ml,USD 9328.5
1953-04-19,822.64L,¥8434.57
"Nov 27, 2011",24.8ml,USD 3145.56
"Nov 14, 1905",1718.74ml,£4584.51
1983-05-21,6.56L,GBP 1020.11
"Feb 22, 1945",152.85ml,EUR 1678.15
"Nov 31, 2012",578.86L,EUR 535.47
"7, Mayo, 1957",1358.78ml,£9807.21
23-06-2009,118.92L,£7327.64
"31, Diciembre, 1959",840.2L,GBP 2072.39
12/27/1900,410.82L,JPY 959.93
"11, Julio, 1905",1691.91ml,£3615.04
21-05-1960,1318.89L,EUR 334.8
03-07-1932,1246.41ml,EUR 6917.74
"Marzo 26, 1916",1153.96L,GBP 7599.06
11/26/1959,301.77L,JPY 6274.63
"8, Julio, 1978",873.38ml,GBP 3557.83
1959-03-07,1557.7L,USD 1448.34
"21, Junio, 2000",1896.09ml,JPY 8138.18
1917-05-31,773.99L,£7706.03
"Sep 28, 1947",222.66L,GBP 9871.46
"21, Mar, 2011",39.89L,USD 6008.1
"7, Nov, 1997",1941.98ml,€6254.05
22-02-1988,1252.22L,EUR 8612.8
"7, Mar, 1930",1648.63L,¥358.02
02-03-1933,628.15L,¥8289.48
05/10/2025,1817.86ml,¥6397.19
03/05/2015,804.51ml,GBP 4148.92
06-11-1991,951.29ml,EUR 9927.63
"1, Feb, 1933",811.89L,$2820.6
1916-09-31,559.51L,¥9696.67
"Sep 25, 1993",1108.13L,EUR 3545.36
1974-07-19,1670.29L,GBP 7807.61
31-07-1950,457.02L,¥7567.53
15-09-2021,1852.52L,JPY 8515.1
25-06-2005,1080.45ml,£891.1
1975-05-24,667.0ml,£4136.13
07-01-2003,459.68ml,JPY 2755.57
11/02/1966,48.11L,£3657.65
17-12-2001,504.19ml,€2464.7
09/12/1957,128.2ml,EUR 1045.05
"Jul 7, 1934",642.35ml,USD 1776.07
"14, Ene, 1940",1368.83ml,$9927.78
09/13/2002,1097.39L,¥5329.39
"13, Mar, 2001",558.91L,$1853.77
"29, Abril, 2007",1471.94L,€1066.54
18-12-1921,1979.48ml,$3001.0
04-09-1988,1848.08ml,EUR 9020.94
"31, Abril, 2019",403.68L,EUR 5138.22
"Agosto 31, 2006",110.44L,JPY 3041.65
2025-02-18,1743.26L,£6612.98
"Ene 31, 1997",1560.07L,JPY 5920.86
"19, Junio, 2008",1381.67ml,€3387.95
03/27/1997,192.63ml,¥3482.16
03/25/1922,514.72L,JPY 2172.88
31-06-1926,30.9L,£5818.7
14-03-1913,1862.68ml,JPY 6173.4
02-01-1994,119.94ml,JPY 3291.28
03/25/1955,1384.54ml,£8532.35
26-01-1943,1976.62ml,$6078.05
14-07-1924,1912.51L,€9464.34
"Junio 13, 1951",624.01L,USD 7586.35
1954-04-09,478.53ml,JPY 844.6
"Enero 13, 1957",1055.8L,£8175.24
07-09-2017,1316.33ml,GBP 7359.95
25-01-1906,1326.84L,JPY 3568.93
"24, Abril, 1912",1455.87ml,GBP 7382.17
1992-09-29,640.98ml,£9659.78
"31, Octubre, 1921",1613.45L,£7404.21
"Mayo 10, 2007",1765.05ml,USD 174.78
06/12/1987,550.48L,USD 1095.17
"Noviembre 21, 1919",259.86L,€3668.5
2014-06-06,1551.45L,GBP 2625.12
"28, Octubre, 2009",86.85L,€1849.32
10/27/1923,1193.68L,€952.49
26-07-1932,1730.61ml,£5140.32
10/20/1989,1888.4L,JPY 8019.99
26-06-1910,735.54ml,£2645.25
"17, Febrero, 2003",676.6L,EUR 5422.73
1901-11-09,69.43L,GBP 803.15
"4, Oct, 2019",481.85ml,£6796.46
22-05-1976,1005.41ml,$962.27
02/24/1948,576.34ml,¥8055.62
26-05-1915,693.16ml,€3661.74
1921-10-31,1650.03L,£9603.38
04/11/2005,1881.9L,GBP 8502.19
04-02-2001,507.65L,GBP 267.27
"8, Abril, 1927",1714.51ml,EUR 7823.58
"16, Mayo, 1949",4.43ml,USD 7249.64
"22, Diciembre, 1930",1153.43ml,¥8188.47
"10, Ene, 1927",799.14ml,USD 3478.19
17-03-2021,1252.66ml,EUR 7450.36
"14, May, 1928",996.61ml,JPY 4328.87
10-11-1998,991.82L,JPY 855.81
"12, May, 1934",1118.06ml,¥3302.54
"9, Dic, 1934",1565.6L,$509.18
02/16/1909,1566.94L,¥5400.05
08-09-1997,48.52L,£725.12
1970-05-11,970.15L,GBP 5693.72
"Marzo 29, 1959",1390.4ml,GBP 6506.87
09-11-2021,542.72ml,USD 7422.61
"30, May, 1973",231.99L,$1594.55
04/12/1913,1024.39ml,¥5347.06
1963-08-04,716.15L,GBP 2533.81
15-11-2016,158.22L,GBP 5766.04
2011-10-03,974.0ml,¥1243.15
"23, Febrero, 1971",1814.95ml,JPY 8537.33
27-11-1962,1196.19L,JPY 7266.02
18-01-1924,1474.68ml,£9084.6
"22, May, 1920",550.29ml,GBP 9050.53
01/07/2021,246.26L,USD 4656.59
"Julio 13, 1987",203.6L,USD 4228.82
"Jun 18, 1960",1739.53L,€6800.11
"May 26, 2008",645.17L,GBP 7152.16
09/17/1920,331.68ml,GBP 7934.27
"Jul 8, 2018",1087.27L,¥4690.48
24-08-1951,1601.0ml,JPY 6170.38
"31, Abril, 1956",208.1ml,EUR 5044.39
1913-12-31,596.03L,EUR 6992.7
"Oct 25, 1915",1653.95L,£830.44
"25, Julio, 1956",969.47ml,EUR 1264.07
12-09-1917,588.14ml,€2968.25
20-12-2020,998.4L,GBP 3400.15
"Mayo 20, 2012",891.53L,£9678.97
"Julio 24, 1966",697.62L,$764.54
12/13/1983,1457.91L,USD 7858.41
"26, Ene, 1950",593.89ml,GBP 915.52
04-03-1991,1855.53ml,USD 7946.72
"15, Junio, 1998",810.27ml,¥9752.77
16-12-1945,1400.59ml,JPY 9834.21
1958-03-14,577.38ml,JPY 3575.45
"Dic 15, 1922",599.47L,GBP 4230.04
"28, Abril, 1959",484.41ml,€7611.61
"29, Jun, 2002",1856.07ml,£9228.82
"Octubre 26, 2010",1856.98L,$4150.73
01/12/2002,720.02L,USD 3881.48
1967-02-25,655.58ml,JPY 5954.58
24-06-1945,796.39ml,EUR 3296.3
"5, Diciembre, 1901",1489.39ml,USD 176.41
1952-07-29,1195.79L,£7076.93
"20, Jul, 2024",1034.04ml,GBP 5497.01
24-05-1930,15.85L,JPY 1909.62
15-07-2007,458.09L,€5204.27
"10, Dic, 1957",1920.84L,EUR 9935.46
"20, Mar, 1928",1637.31ml,JPY 7542.67
"Junio 16, 1902",704.99ml,JPY 9826.43
"Ago 16, 2020",1326.39ml,JPY 8445.72
09/28/1939,240.13L,USD 869.2
19-08-1919,1764.03L,€5146.9
"Noviembre 20, 1971",441.67ml,€3978.56
08/01/1931,413.53L,USD 1254.94
01/30/1976,38.04ml,¥607.31
17-10-1977,61.85L,¥1842.47
"Junio 15, 1995",236.69ml,GBP 12.61
04/22/1987,1645.55ml,GBP 908.22
"18, Abr, 1964",346.61L,JPY 2588.53
"13, Agosto, 1995",1724.86ml,GBP 1874.2
2012-07-18,944.14ml,£4344.95
1954-03-07,1.67L,$103.72
1970-06-27,1396.88ml,EUR 581.37
01/07/1986,1224.33L,£6894.9
1921-08-08,1373.87ml,$5123.98
1937-12-29,1007.89ml,¥8069.31
03/16/1916,584.39L,GBP 4163.78
09/11/1950,1777.01ml,£3782.65
"Noviembre 31, 1926",1135.9L,€4559.67
"11, Mar, 1986",707.58L,€4042.53
10-09-1977,1134.79ml,$5678.24
"Mayo 9, 1989",472.25ml,GBP 9043.84
"3, Sep, 1980",134.6ml,USD 9660.72
06/15/2002,1824.92L,JPY 3851.24
12/25/1952,586.01L,GBP 9817.26
"Mayo 12, 1955",1013.66L,EUR 116.26
"Marzo 21, 1914",1184.66ml,$338.98
2024-06-19,573.62ml,€1763.5
18-03-1977,1676.8ml,$1710.51
"24, Jun, 1965",349.68ml,USD 7716.39
07/15/1966,592.14ml,$9168.62
"Jun 4, 1996",486.61ml,$2468.9
1928-12-30,456.95L,$8302.26
1914-11-07,792.63ml,GBP 9693.1
12/02/1965,852.66ml,USD 9674.92
1996-12-26,1928.27L,¥7392.98
"Enero 11, 2000",1845.62L,EUR 1796.7
1948-07-07,510.67ml,£1986.5
11/09/1981,1637.61L,EUR 1072.46
"Octubre 11, 1938",903.19L,USD 4859.23
30-03-2013,1759.71L,$5036.45
"9, Julio, 1913",1104.29L,EUR 721.05
"26, Nov, 1958",1887.06ml,£1888.11
05/29/2015,1744.19ml,USD 3817.14
25-09-1915,336.15L,GBP 9813.58
1948-12-20,1123.58ml,JPY 9247.43
"22, Noviembre, 1997",1564.22ml,£2996.02
11/11/2024,1190.63ml,£7969.58
01/11/1919,243.12ml,EUR 2618.64
"Abril 30, 1961",1429.16L,£60.54
07/09/1923,422.41L,JPY 1637.08
1907-02-12,1551.72ml,GBP 4279.98
"Junio 12, 2005",1238.4ml,USD 7772.6
"6, Sep, 1902",280.93L,£442.67
05-04-1999,1473.44ml,JPY 1498.06
"Febrero 21, 1928",589.85L,USD 3884.87
1951-04-18,14.93ml,€2368.99
"3, Jul, 2014",1666.11L,JPY 1534.03
1987-10-20,1315.07L,EUR 2521.28
"May 14, 1929",377.03L,JPY 5419.13
"Diciembre 18, 1931",48.34ml,¥693.24
07/14/2023,165.66ml,JPY 4195.07
1966-03-29,1636.5ml,JPY 8431.16
03/02/1941,1401.66ml,€4278.33
"Oct 5, 1987",1733.1L,¥6477.07
"8, Dic, 1931",1627.85ml,¥2821.28
"23, Ago, 1907",335.94L,¥2100.68
12/10/1950,1495.5L,GBP 4070.49
"Nov 10, 1955",122.3ml,USD 7603.34
"31, Abr, 1970",1422.81ml,¥6267.57
08-11-2010,901.02ml,USD 6219.44
1974-12-07,229.06L,JPY 3012.96
1993-04-18,162.3L,¥2457.83
06/08/1948,453.79L,$6492.3
11/09/2008,510.25L,£1014.96
07/15/2022,1.73L,€2347.81
"14, Jul, 1934",1710.15ml,€4783.42
"8, Mayo, 1931",694.0L,¥9557.77
"Ago 31, 1957",1420.67L,EUR 9417.99
08-04-1915,55.25ml,¥8883.08
18-11-1927,631.9L,USD 1615.0
2014-03-18,213.8L,GBP 944.3
"Octubre 29, 1965",810.1L,£7004.25
2024-12-09,586.84ml,GBP 1534.01
2025-10-10,420.96ml,JPY 6719.3
"Nov 14, 1925",569.16ml,¥104.15
11-07-1982,1879.49L,USD 3017.2
"Agosto 24, 1961",834.74L,JPY 7936.93
"5, Mayo, 2017",1713.1L,£5310.9
04-12-1946,1284.06ml,£1330.47
"Ene 1, 2002",579.35ml,GBP 2414.24
24-02-1943,608.28ml,$4808.89
"20, Diciembre, 2014",1372.14L,EUR 5284.3
"Mayo 8, 1982",1177.6ml,$1163.37
23-02-2007,1221.24ml,€8993.3
"18, Marzo, 1989",1341.92ml,€6733.79
31-01-1986,1850.01ml,GBP 3554.67
"27, Febrero, 2022",1917.45ml,EUR 3846.97
"28, Diciembre, 1934",1877.37L,GBP 1760.08
08/09/1929,1376.97ml,£3212.86
1944-02-21,364.77ml,JPY 5529.48
05/01/1990,849.84L,USD 3253.65
25-09-2003,415.35ml,€9044.68
04-10-1905,767.42L,£6668.28
10-03-1987,1796.96ml,JPY 3125.17
18-08-1987,1248.05ml,£8983.94
"Dic 15, 2024",626.81ml,USD 9458.52
"18, Jul, 1934",1317.63ml,GBP 4217.07
01/26/2014,553.59ml,$6669.32
04-12-1901,190.2ml,USD 6564.16
09/01/2007,373.2ml,EUR 794.88
1915-08-30,1880.98ml,$5254.56
08/29/1918,1834.09L,€2101.43
1930-05-20,600.95ml,¥7361.7
"Abr 6, 1950",1948.62ml,GBP 55.29
03/21/1916,1602.75ml,GBP 1967.82
1975-04-05,10.78L,GBP 8680.51
"26, Agosto, 1961",1382.13L,$6051.58
"Enero 17, 1933",883.44L,$2881.42
31-03-1980,1450.61L,$9029.51
"24, Septiembre, 2001",103.99ml,€3232.8
1942-04-15,1559.94L,USD 29.98
11/12/1989,1145.17ml,EUR 8764.57
"13, Julio, 2002",650.48ml,USD 3704.91
29-04-1932,1000.73ml,¥4832.8
1942-10-15,1043.43L,USD 5243.73
09/03/2019,1131.83ml,USD 8526.05
"Marzo 16, 1933",1233.94ml,EUR 8351.11
"27, Febrero, 1997",390.2ml,€5665.58
"Junio 18, 1941",1357.96L,GBP 1767.96
12-05-1970,389.77L,JPY 5482.1
"9, Oct, 1961",1970.96ml,¥2152.08
"5, Ago, 1931",412.91L,¥5714.2
07/10/1953,892.96ml,¥8336.9
29-10-2017,785.69ml,€3385.2
06/01/1907,488.88ml,JPY 750.84
"19, Jul, 2020",1883.08L,£9270.53
09/13/1977,1714.34L,$7013.92
09/14/1972,1624.65L,JPY 8698.05
"Octubre 3, 1996",1853.59L,JPY 4000.45
"Mayo 12, 1941",233.79ml,¥1511.45
"17, Agosto, 1982",1493.49L,USD 9142.32
"Abril 3, 1929",1134.65L,¥4015.08
10/03/1954,1067.19L,£7652.1
"Ago 19, 1908",363.97ml,£8500.06
"26, Ene, 1957",1805.51ml,EUR 8587.46
17-06-1903,140.7L,$8545.15
03-04-1957,1409.49ml,$4576.58
06/01/2007,699.87ml,EUR 6622.27
"5, Nov, 1946",1290.46ml,USD 106.98
"15, Jun, 2023",785.09ml,JPY 7894.13
"22, Mar, 1992",791.19ml,$3910.01
30-01-1917,808.87L,JPY 3158.55
"Julio 20, 1951",884.74ml,EUR 4736.81
"Diciembre 30, 1949",544.1ml,¥4573.24
"Agosto 8, 1922",1693.34ml,USD 9799.86
24-11-2010,1720.11L,GBP 717.89
"30, Oct, 1970",1160.58L,JPY 2238.16
"Agosto 10, 1917",1541.01L,USD 6248.26
2013-12-14,945.47L,¥9042.08
2001-09-28,292.02L,¥7148.03
10-10-1917,941.21ml,USD 667.75
03/10/1927,745.27ml,JPY 8370.7
2025-10-02,1487.9ml,$6394.34
"27, Abr, 1958",158.14L,$1907.49
10/26/1913,829.35L,$661.69
1904-11-20,610.58ml,GBP 7944.36
03/15/1933,679.78ml,€8628.25
"16, Sep, 2018",1585.01ml,$6094.49
03/24/1988,895.07ml,$4083.4
09/30/1966,175.2ml,$2300.92
"Noviembre 1, 1955",1938.59L,€4779.88
"11, Mar, 1907",187.84L,¥3141.44
2020-11-21,880.53L,€321.91
"Dic 16, 1981",432.51ml,£2035.27
09/22/1955,1044.18ml,JPY 4173.63
"11, Noviembre, 2005",802.11L,¥5543.39
1903-04-02,678.02ml,GBP 5031.04
"May 14, 1991",289.91L,USD 922.16
1945-01-27,342.14L,€9821.37
10/10/2001,1030.67L,€9657.33
14-11-2006,1017.66L,£2648.85
"Ene 12, 1924",444.71ml,€1826.95
08/10/2021,784.03L,£7735.27
12/19/1959,699.97ml,¥4592.93
07/14/1995,717.93L,£6186.56
"Dic 19, 1926",1852.78L,¥879.3
"Ene 22, 1902",1827.77L,£3651.39
1992-11-18,627.21L,GBP 5477.6
07-01-1928,1832.62ml,GBP 2775.59
"27, Agosto, 1989",1659.84L,¥3810.24
1982-06-24,1873.35ml,JPY 866.23
"Ene 3, 1928",108.3L,GBP 3990.82
